"","AAV2020","CODGEO","LIBAAV2020","CATEAAV2020","DEP","REG","TAAV2017","TDAAV2017","NB_COM"
"5826","000","65095","Commune hors attraction des villes","30","65","76","0","00",8932
"5827","000","73088","Commune hors attraction des villes","30","73","84","0","00",8932
"5828","000","46023","Commune hors attraction des villes","30","46","76","0","00",8932
"5829","000","55028","Commune hors attraction des villes","30","55","44","0","00",8932
"5830","000","87059","Commune hors attraction des villes","30","87","75","0","00",8932
"5831","000","42045","Commune hors attraction des villes","30","42","84","0","00",8932
"5832","000","26163","Commune hors attraction des villes","30","26","84","0","00",8932
"5833","000","42047","Commune hors attraction des villes","30","42","84","0","00",8932
"5834","000","52247","Commune hors attraction des villes","30","52","44","0","00",8932
"5835","000","65105","Commune hors attraction des villes","30","65","76","0","00",8932
"5836","000","65106","Commune hors attraction des villes","30","65","76","0","00",8932
"5837","000","26168","Commune hors attraction des villes","30","26","84","0","00",8932
"5838","000","17305","Commune hors attraction des villes","30","17","75","0","00",8932
"5839","000","65109","Commune hors attraction des villes","30","65","76","0","00",8932
"5840","000","65110","Commune hors attraction des villes","30","65","76","0","00",8932
"5841","000","42055","Commune hors attraction des villes","30","42","84","0","00",8932
"5842","000","52257","Commune hors attraction des villes","30","52","44","0","00",8932
"5843","000","22029","Commune hors attraction des villes","30","22","53","0","00",8932
"5844","000","24175","Commune hors attraction des villes","30","24","75","0","00",8932
"5845","000","47087","Commune hors attraction des villes","30","47","75","0","00",8932
"5846","000","82004","Commune hors attraction des villes","30","82","76","0","00",8932
"5847","000","65117","Commune hors attraction des villes","30","65","76","0","00",8932
"5848","000","42063","Commune hors attraction des villes","30","42","84","0","00",8932
"5849","000","17316","Commune hors attraction des villes","30","17","75","0","00",8932
"5850","000","43104","Commune hors attraction des villes","30","43","84","0","00",8932
"5851","000","66013","Commune hors attraction des villes","30","66","76","0","00",8932
"5852","000","17319","Commune hors attraction des villes","30","17","75","0","00",8932
"5853","000","65124","Commune hors attraction des villes","30","65","76","0","00",8932
"5854","000","43108","Commune hors attraction des villes","30","43","84","0","00",8932
"5855","000","33490","Commune hors attraction des villes","30","33","75","0","00",8932
"5856","000","17323","Commune hors attraction des villes","30","17","75","0","00",8932
"5857","000","26189","Commune hors attraction des villes","30","26","84","0","00",8932
"5858","000","17325","Commune hors attraction des villes","30","17","75","0","00",8932
"5859","000","21382","Commune hors attraction des villes","30","21","27","0","00",8932
